title,publisher,doi,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,author_id,cited
An analysis of quantile measures of kurtosis: center and tails,STATISTICAL PAPERS,10.1007/s00362-007-0101-4,JUN 2009,20,3,"The consequences of substituting the denominator Q (3)(p) - Q (1)(p) by Q (2) - Q (1)(p) in Groeneveld's class of quantile measures of kurtosis (gamma (2)(p)) for symmetric distributions, are explored using the symmetric influence function. The relationship between the measure gamma (2)(p) and the alternative class of kurtosis measures kappa(2)(p) is derived together with the relationship between their influence functions. The Laplace, Logistic, symmetric Two-sided Power, Tukey and Beta distributions are considered in the examples in order to discuss the results obtained pertaining to unimodal, heavy tailed, bounded domain and U-shaped distributions.","Influence function,Symmetric distributions,Heavy-tailed distributions,Groeneveld measure",,"Kotz, Samuel@George Washington Univ, Dept Engn Management & Syst Engn, Washington, DC 20052 USA::Seier, Edith@E Tennessee State Univ, Dept Math, Johnson City, TN 37614 USA","Kotz, Samuel@George Washington University::Seier, Edith@East Tennessee State University",not exist,"POWERS OF GOODNESS-OF-FIT TESTS IN DETECTING BALANCED MIXED NORMAL-DISTRIBUTIONS+BAJGIER, SM; AGGARWAL, LK+EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT+SUM 1991::KURTOSIS - A CRITICAL-REVIEW+BALANDA, KP; MACGILLIVRAY, HL+AMERICAN STATISTICIAN+MAY 1988::no title+Bowley, A. L.+Elements of Statistics+1937::A NOTE ON KURTOSIS+FINUCAN, HM+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY+1964::A class of quantile measures for kurtosis+Groeneveld, RA+AMERICAN STATISTICIAN+NOV 1998::MEASURING SKEWNESS AND KURTOSIS+GROENEVELD, RA; MEEDEN, G+STATISTICIAN+1984::POWER TRANSFORMATIONS TO SYMMETRY+HINKLEY, DV+BIOMETRIKA+1975::no title+Huber, PJ.+Robust statistics+1981::A COMMON ERROR CONCERNING KURTOSIS+KAPLANSKY, I+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+1945::no title+KARIAN ZA+FITTING STAT DISTRIB+2004::no title+KIM TH+200312 UCSD DE EC+2003::no title+KOTZ S+BETA OTHER CONTINUOU+2003::no title+KOTZ S+BRAZ J PROB IN PRESS+2007::no title+KOTZ S+ENTRY KURTOSIS ENCY+1983::A QUANTILE ALTERNATIVE FOR KURTOSIS+MOORS, JJA+STATISTICIAN+1988::The error law and its generalisation per Fechner and Pearson - A rejoinder+Pearson, K+BIOMETRIKA+1905::PROBABILITY DISTRIBUTION AND ITS USES IN FITTING DATA+RAMBERG, JS; DUDEWICZ, EJ; TADIKAMALLA, PR; et al.+TECHNOMETRICS+1979::no title+RUPPERT D+AM STAT+1997::Comparison of tests for univariate normality+Seier, E.+Inter-Stat (London).+2002::no title+VANZWET WR+MATH CTR TRACT+1964"
A unified approach of testing for discrete and continuous Pareto laws,STATISTICAL PAPERS,10.1007/s00362-007-0103-2,JUN 2009,10,3,"New tests are proposed for the Pareto distribution as well as its discrete version, the so called Zipf's law. In both cases the discrepancy between the empirical moment of arbitrary negative order and its theoretical counterpart is utilized in a weighted integral test statistic. If the weight function is of exponential rate of decay interesting limit statistics are obtained. The tests are shown to be consistent under fixed alternatives and a Monte Carlo study is drawn to investigate the performance of the proposed procedures in small samples. Furthermore a bootstrap procedure is proposed to cope with the case of unknown shape parameter. We conclude with applications to real data.","Zipf distribution,Riemann zeta distribution,Moment-type statistic,Mellin transform",ZIPF LAW,"Meintanis, Simos G.@Univ Athens, Dept Econ, Athens 10559, Greece","Meintanis, Simos G.@University of Athens",not exist,"no title+DAGOSTINO RB+GOODNESS OF FIT TECH+1986::Zipf law in firms bankruptcy+Fujiwara, Y+PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS+JUN 1 2004::The relationship between Zipf's law and the distribution of first digits+Irmay, S+JOURNAL OF APPLIED STATISTICS+AUG 1997::Maximum likelihood estimation for constrained parameters of multinomial distributions - Application to Zipf-Mandelbrot models+Izsak, F.+COMPUTATIONAL STATISTICS &amp; DATA ANALYSIS+DEC 1 2006::no title+Johnson, N.L; Kotz, S; Balakrishnan, N.+Continuous Univariate Distributions+1994::no title+Kemp, A. W.; Johnson, N. L.; Kotz, S.+Univariate Discrete Distributions+1993::Zipf's law in importance of genes for cancer classification using microarray data+Li, WT; Yang, YN+JOURNAL OF THEORETICAL BIOLOGY+DEC 21 2002::Goodness-of-fit test for additively closed count models with an application to the generalized Hermite distribution+Meintanis, S; Bassiakos, Y.+Sankhya+2005::Zipf law for Brazilian cities+Moura, NJ; Ribeiro, MB+PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS+JUL 15 2006::no title+Zayed, A. I.+HDB FUNCTION GEN FUN+1996"
Moments of the product and ratio of two correlated chi-square variables,STATISTICAL PAPERS,10.1007/s00362-007-0105-0,JUN 2009,20,18,The exact probability density function of a bivariate chi-square distribution with two correlated components is derived. Some moments of the product and ratio of two correlated chi-square random variables have been derived. The ratio of the two correlated chi-square variables is used to compare variability. One such application is referred to. Another application is pinpointed in connection with the distribution of correlation coefficient based on a bivariate t distribution.,"Bivariate chi-square distribution,Moments,Product of correlated chi-square variables,Ratio of correlated chi-square variables","POPULATION,SAMPLES","Joarder, Anwar H.@King Fahd Univ Petr & Minerals, Dept Math & Stat, Dhahran 31261, Saudi Arabia","Joarder, Anwar H.@King Fahd University of Petroleum & Minerals","Joarder, Anwar H.@A-8563-2017@http://orcid.org/0000-0002-9889-3016","DISTRIBUTION OF THE CORRELATION-COEFFICIENT FOR THE CLASS OF BIVARIATE ELLIPTIC MODELS+ALI, MM; JOARDER, AH+CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE+DEC 1991::no title+ANDERSON, T. W.+An Introduction to Multivariate Statistical Analysis+2003::no title+BILLAH MB+J APPL STAT SCI+2000::no title+Fang, K; Anderson, T.+Statistical inference in elliptically contoured and related distributions+1990::no title+Fang, K-T; Zhang, Y-T.+Generalized multivariate analysis. Berlin etc+1990::The distribution of the ratio of estimates of the two variances in a sample from a normal B-1-variate population+Finney, DJ+BIOMETRIKA+JUN 1938::Frequency distribution of the values of the correlation coefficient in samples from an indefinitely large population+Fisher, R.A.+Biometrika.+1915::The distribution of the ratio of covariance estimates in two samples drawn from normal bivariate populations+Hirschfeld, HO+BIOMETRIKA+JUN 1937::Product moments of a bivariate Wishart distribution+Joarder, A. H.+J. Probab. Stat. Sci.+2006::no title+JOARDER AH+METRIKA+1996::no title+JOARDER AH+STAT PAPERS IN PRESS+2007::Conflict among the shrinkage estimators induced by W, LR and LM tests under a Student's t regression model+Kibria, B.M.G.+J. Korean Stat. Soc.+2004::Preliminary test ridge regression estimators with student's t errors and conflicting test-statistics+Kibria, BMG; Saleh, AKME+METRIKA+MAY 2004::no title+Kotz, S.; Balakrishnan, N.; Johnson, N. L.+Continuous multivariate distributions. Volume 1: Models and applications+2000::no title+Kotz, S.; Nadarajah, S.+Multivariate t-distributions and their applications+2004::A NOTE ON BIVARIATE CHI DISTRIBUTION+KRISHNAIAH, PR; STEINBERG, L; HAGIS, P+SIAM REVIEW+1963::no title+MUDDAPUR MV+SANKHYA B+1968::no title+Muirhead, R. J.+Aspects of Multivariate Statistical Theory+1982::THE EXACT DISTRIBUTION OF THE RATIO OF A LINEAR COMBINATION OF CHI-SQUARE VARIABLES OVER THE ROOT OF A PRODUCT OF CHI-SQUARE VARIABLES+PROVOST, SB+CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE+MAR 1986::The generalised product moment distribution in samples from a normal multivariate population+Wishart, J+BIOMETRIKA+JUL 1928"
Statistical inference of the efficient frontier for dependent asset returns,STATISTICAL PAPERS,10.1007/s00362-007-0108-x,JUN 2009,22,3,"In the paper we consider the three characteristics of the efficient frontier. These characteristics are estimated by substituting the unknown parameters by the sample counterparts. Assuming that the asset returns follow a stationary Gaussian process it is shown that the estimated characteristics are asymptotically normally distributed. This result is used to determine the joint asymptotic distribution of the estimated portfolio return and the estimated portfolio variance in the case of the expected utility portfolio and the tangency portfolio, respectively.","Asset allocation,Mean-variance efficient frontier,Optimal portfolios,Asymptotic normality","PORTFOLIO SELECTION,EXPECTED RETURNS,VARIANCE","Bodnar, Taras@Europa Univ Viadrina Frankfurt Oder, D-15230 Frankfurt, Germany::Schmid, Wolfgang@Europa Univ Viadrina Frankfurt Oder, D-15230 Frankfurt, Germany::Zabolotskyy, Taras@Europa Univ Viadrina Frankfurt Oder, D-15230 Frankfurt, Germany","Bodnar, Taras@European University Viadrina Frankfurt Oder::Schmid, Wolfgang@European University Viadrina Frankfurt Oder::Zabolotskyy, Taras@European University Viadrina Frankfurt Oder","Bodnar, Taras@http://orcid.org/0000-0001-7855-8221","no title+BODNAR T+MEAN VARIANCE UNPUB+2007::The sampling error in estimates of mean-variance efficient portfolio weights+Britten-Jones, M+JOURNAL OF FINANCE+APR 1999::no title+Brockwell, P. J.; Davis, R. A.+Time Series: Theory and Methods+1991::Portfolio Advice for a MultifactorWorld+Cochrane, J. H.+NBER working paper 7170+1999::TIME-VARIATION IN EXPECTED RETURNS+CONRAD, J; KAUL, G+JOURNAL OF BUSINESS+OCT 1988::AUTOREGRESSIVE CONDITIONAL HETEROSCEDASTICITY WITH ESTIMATES OF THE VARIANCE OF UNITED-KINGDOM INFLATION+ENGLE, RF+ECONOMETRICA+1982::no title+Hannan,, E.J.+MULTIPLE TIME SERIES+1970::no title+Harville, D. A.+Matrix algebra from statistician's perspective+1997::no title+Ingersoll,, J.+Theory of Financial Decisions Making+1987::ESTIMATION FOR MARKOWITZ EFFICIENT PORTFOLIOS+JOBSON, JD; KORKIE, B+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+1980::Estimating the global minimum variance portfolio+Kempf, A.; Memmel, C.+Schmalenbach Business Review+2006::no title+LO A+J ECON+1991::The statistics of Sharpe ratios+Lo, AW+FINANCIAL ANALYSTS JOURNAL+JUL-AUG 2002::Asset pricing models: Implications for expected returns and portfolio selection+MacKinlay, AC; Pastor, L+REVIEW OF FINANCIAL STUDIES+WIN 2000::no title+Magnus, J. R.; Neudecker, H.+Matrix Differential Calculus with Applications in Statistics and Econometrics+1999::PORTFOLIO SELECTION+Markowitz, Harry+JOURNAL OF FINANCE+MAR 1952::PORTFOLIO RETURN AUTOCORRELATION+MECH, TS+JOURNAL OF FINANCIAL ECONOMICS+DEC 1993::ANALYTIC DERIVATION OF EFFICIENT PORTFOLIO FRONTIER+MERTON, RC+JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS+1972::Comparison of different estimation techniques for portfolio selection+Okhrin, Yarema; Schmid, Wolfgang+ASTA-ADVANCES IN STATISTICAL ANALYSIS+2007::no title+Reinsel, G.C.+ELEMENTS MULTIVARIAT+1997::no title+SCHMID W+ADV STAT AN IN PRESS+2007::Analyzing investments whose histories differ in length+Stambaugh, RF+JOURNAL OF FINANCIAL ECONOMICS+SEP 1997"
The product t density distribution arising from the product of two Student's t PDFs,STATISTICAL PAPERS,10.1007/s00362-007-0088-x,JUN 2009,18,2,"The Student's t distribution has become increasingly prominent and is considered as a competitor to the normal distribution. Motivated by real examples in Physics, decision sciences and Bayesian statistics, a new t distribution is introduced by taking the product of two Student's t pdfs. Various structural properties of this distribution are derived, including its cdf, moments, mean deviation about the mean, mean deviation about the median, entropy, asymptotic distribution of the extreme order statistics, maximum likelihood estimates and the Fisher information matrix. Finally, an application to a Bayesian testing problem is illustrated.","Bayesian statistics,Decision sciences,Physics,Product t density distribution,Student's t distribution",,"Nadarajah, Saralees@Univ Manchester, Sch Math, Manchester M60 1QD, Lancs, England","Nadarajah, Saralees@University of Manchester",not exist,"no title+Adler, R. J.; Feldman, R.; Taqqu, M. S.+A Practical Guide to Heavy Tails: Statistical Techniques and Applications+Oct. 1998::Living in an irrational society: Wealth distribution with correlations between risk and expected profits+Fuentes, Miguel A.; Kuperman, M.; Iglesias, J. R.+PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS+NOV 1 2006::no title+Gradshteyn, IS; Ryzhik, IM.+TABLE INTEGRALS SERI+2000::THEORY OF GYROMAGNETIC EFFECTS AND SOME RELATED MAGNETIC PHENOMENA+HEIMS, SP; JAYNES, ET+REVIEWS OF MODERN PHYSICS+1962::Simple formula for pooling knowledge about a quantum system+Jacobs, K+PHYSICAL REVIEW A+OCT 2005::no title+Kotz, S.; Nadarajah, S.+Multivariate t-distributions and their applications+2004::no title+LEADBETTER, M. R.; LINDGREN, G.; ROOTZ'EN, H.+Extremes and Related Properties of Random Sequences and Processes+1987::RECONCILIATION OF PROBABILITY-DISTRIBUTIONS+LINDLEY, D+OPERATIONS RESEARCH+1983::Multiobjective anatomy-based dose optimization for HDR-brachytherapy with constraint free deterministic algorithms+Milickovic, N; Lahanas, M; Papagiannopoulou, M; et al.+PHYSICS IN MEDICINE AND BIOLOGY+JUL 7 2002::no title+Prudnikov, A. P.; Brychkov, Y. A.; Marichev, O. I.+Integrals and Series Volume 3: More Special Functions+1986::no title+Prudnikov, A. P.; Brychkov, Y. A.; Marichev, O. I.+INTEGRALS SERIES+1986::no title+Prudnikov, A. P.; Brychkov, Y. A.; Marichev, O. I.+INTEGRALS SERIES+1986::no title+Rachev, S.+HDB HEAVY TAILED DIS+2003::On measures of entropy and information+Renyi, A.+P 4 BERK S MATH STAT+1961::no title+RYAN BF+MINITAB HDB+1985::Economic returns of research: the Pareto law and its implications+Sornette, D; Zajdenweber, D+EUROPEAN PHYSICAL JOURNAL B+APR 1999::no title+TAKANO K+APPL MATH C IN PRESS+2006::On infinite divisibility of normed product of Cauchy densities+Takano, K+JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS+JAN 15 2003"
Useful moment and CDF formulations for the COM-Poisson distribution,STATISTICAL PAPERS,10.1007/s00362-007-0089-9,JUN 2009,6,11,"The Poisson distribution is as important for discrete events as the normal distribution is to large sample data. In this note, we discuss a generalized Poisson distribution recently introduced in the statistics literature. We derive-for the first time-exact and explicit expressions for its moments and the cumulative distribution function for the case of over-dispersion. Computational issues are discussed to show the real value of these expressions.","Cumulative distribution function,Generalized hypergeometric function,Moments,Poisson distribution",,"Nadarajah, Saralees@Univ Manchester, Sch Math, Manchester M60 1QD, Lancs, England","Nadarajah, Saralees@University of Manchester",not exist,"no title+Gradshteyn, IS; Ryzhik, IM.+TABLE INTEGRALS SERI+2000::no title+Hansen, E.+TABLE SERIES PRODUCT+1975::no title+Johnson, N. L.; Kotz, S.; Kemp, A. W.+Univariate Discrete Distributions+1992::no title+MINKA TP+776 CARNEGIE MELLON+2003::no title+Prudnikov, A. P.; Brychkov, Y. A.; Marichev, O. I.+INTEGRALS SERIES+1986::A useful distribution for fitting discrete data: revival of the Conway-Maxwell-Poisson distribution+Shmueli, G; Minka, TP; Kadane, JB; et al.+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS+JAN 2005"
Asymptotic optimality of a two-stage procedure in Bayes sequential estimation,STATISTICAL PAPERS,10.1007/s00362-007-0092-1,JUN 2009,20,0,"The problem of sequential estimation of the mean with quadratic loss and fixed cost per observation is considered within the Bayesian framework. Instead of fully sequential sampling, a two-stage sampling technique is introduced to solve the problem. The proposed two-stage procedure is robust in the sense that it does not depend on the distribution of outcome variables and the prior. It is shown to be asymptotically not worse than the optimal fixed-sample-size procedures for the arbitrary distributions, and to be asymptotically Bayes for the distributions of one-parameter exponential family.","Asymptotically Bayes,Bayes sequential estimation,Empirical Bayes,Optimal sequential procedure,Two-stage procedure",,"Hwang, Leng-Cheng@Tunghai Univ, Dept Stat, Taichung 40704, Taiwan::Liu, Jeng-Fu@Fu Jen Catholic Univ, Dept Stat, Taipei, Taiwan","Hwang, Leng-Cheng@Tunghai University::Liu, Jeng-Fu@Fu Jen Catholic University",not exist,"BAYESIAN SEQUENTIAL ESTIMATION+ALVO, M+ANNALS OF STATISTICS+1977::Asymptotically pointwise optimal procedures in sequential analysis+Bickel, P.J.; Yahav, J.A.+P 5 BERK S MATH STAT+1967::ASYMPTOTICALLY OPTIMAL BAYES AND MINIMAX PROCEDURES IN SEQUENTIAL ESTIMATION+BICKEL, PJ; YAHAV, JA+ANNALS OF MATHEMATICAL STATISTICS+1968::no title+Chow, Y. S.; Robbins, H.; Siegmund, D.+Great Expectations: The Theory of Optimal Stopping+1971::no title+Chow, Y. S.; Teicher, H.+Probability theory: Independence, interchangeability, martingales+1988::THE PERFORMANCE OF A SEQUENTIAL PROCEDURE FOR THE ESTIMATION OF THE MEAN+CHOW, YS; YU, KF+ANNALS OF STATISTICS+1981::ESTIMATION BY DOUBLE SAMPLING+COX, DR+BIOMETRIKA+1952::SEQUENTIAL POINT ESTIMATION OF THE MEAN WHEN THE DISTRIBUTION IS UNSPECIFIED+GHOSH, M; MUKHOPADHYAY, N+COMMUNICATIONS IN STATISTICS PART A-THEORY AND METHODS+1979::Consistency and asymptotic efficiency of two-stage and sequential procedures+Ghosh, M.; Mukhopadhyay, N.+Sankhya Ser. A+1981::ASYMPTOTIC THEORY OF TRIPLE SAMPLING FOR SEQUENTIAL ESTIMATION OF A MEAN+HALL, P+ANNALS OF STATISTICS+1981::EMPIRICAL BAYES APPROACH TO BAYES SEQUENTIAL ESTIMATION - THE POISSON AND BERNOULLI CASES+HWANG, LC+COMMUNICATIONS IN STATISTICS-THEORY AND METHODS+1992::A robust asymptotically optimal procedure in Bayes sequential estimation+Hwang, LC+STATISTICA SINICA+JUL 1999::Two-stage approach to Bayes sequential estimation in the exponential distribution+Hwang, LC+STATISTICS &amp; PROBABILITY LETTERS+NOV 15 1999::no title+MARTINSEK AT+SEQUENTIAL ANAL+1987::A consistent and asymptotically efficient two-stage procedure to construct fixed width confidence intervals for the mean+Mukhopadhyay, N.+Metrika+1980::A BAYESIAN-APPROACH TO A PROBLEM IN SEQUENTIAL ESTIMATION+RASMUSSEN, SL+ANNALS OF STATISTICS+1980::no title+REHAILIA MEH+SEQUENTIAL ANAL+1984::Sequential estimation of the mean of a normal population+Robbins, H.+Probability and statistics+1959::A 2-SAMPLE TEST FOR A LINEAR HYPOTHESIS WHOSE POWER IS INDEPENDENT OF THE VARIANCE+STEIN, C+ANNALS OF MATHEMATICAL STATISTICS+1945::APO RULES ARE ASYMPTOTICALLY NON DEFICIENT FOR ESTIMATION WITH SQUARED ERROR LOSS+WOODROOFE, M+ZEITSCHRIFT FUR WAHRSCHEINLICHKEITSTHEORIE UND VERWANDTE GEBIETE+1981"
"Estimation in singular partitioned, reduced or transformed linear models",STATISTICAL PAPERS,10.1007/s00362-007-0097-9,JUN 2009,9,4,"A singular partitioned linear model, i.e. the singular model comprising the main parameters and the nuisance parameters, can be reduced, or transformed to the form in which only linear functions concerning main parameters are involved. In the paper some properties of the best linear unbiased estimators of these functions following from these models are considered.","Linear sufficiency,Best linear unbiased estimation,Nuisance parameters",,"Kala, Radoslaw@Acad Agr Poznan, Dept Math & Stat Methods, PL-60637 Poznan, Poland::Pordzik, Pawel@Acad Agr Poznan, Dept Math & Stat Methods, PL-60637 Poznan, Poland","Kala, Radoslaw@Poznan University of Life Sciences::Pordzik, Pawel@Poznan University of Life Sciences",not exist,"LINEAR TRANSFORMATIONS PRESERVING BEST LINEAR UNBIASED ESTIMATORS IN A GENERAL GAUSS-MARKOFF MODEL+BAKSALARY, JK; KALA, R+ANNALS OF STATISTICS+1981::LINEAR SUFFICIENCY WITH RESPECT TO A GIVEN VECTOR OF PARAMETRIC FUNCTIONS+BAKSALARY, JK; KALA, R+JOURNAL OF STATISTICAL PLANNING AND INFERENCE+SEP 1986::THE LOGIC OF LEAST-SQUARES+BARNARD, GA+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY+1963::no title+BHIMASANKARAM P+LINEAR ALGEBRA APPL+1997::Sufficiency and Completeness in the General Gauss- Markov Model+Drygas, H.+Sankhya+1983::no title+FEUERVERGER A+CANAD J STATIST+1980::Estimation under a general partitioned linear model+Gross, J; Puntanen, S+LINEAR ALGEBRA AND ITS APPLICATIONS+DEC 15 2000::Representations of best linear unbiased estimators in the Gauss-Markoff model with a singular dispersion matrix+Rao, CR.+J Multivariate Anal+1973::PROJECTORS, GENERALIZED INVERSES AND BLUES+RAO, CR+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL+1974"
An alternative stochastic restricted Liu estimator in linear regression,STATISTICAL PAPERS,10.1007/s00362-007-0102-3,JUN 2009,14,29,"In this paper, we introduce an alternative stochastic restricted Liu estimator for the vector of parameters in a linear regression model when additional stochastic linear restrictions on the parameter vector are assumed to hold. The new estimator is a generalization of the ordinary mixed estimator (OME) (Durbin in J Am Stat Assoc 48:799-808, 1953; Theil and Goldberger in Int Econ Rev 2:65-78, 1961; Theil in J Am Stat Assoc 58:401-414, 1963) and Liu estimator proposed by Liu (Commun Stat Theory Methods 22:393-402, 1993). Necessary and sufficient conditions for the superiority of the new stochastic restricted Liu estimator over the OME, the Liu estimator and the estimator proposed by Hubert and Wijekoon (Stat Pap 47:471-479, 2006) in the mean squared error matrix (MSEM) sense are derived. Furthermore, a numerical example based on the widely analysed dataset on Portland cement (Woods et al. in Ind Eng Chem 24:1207-1241, 1932) and a Monte Carlo evaluation of the estimators are also given to illustrate some of the theoretical results.","Liu estimator,Mixed estimator,Stochastic restricted Liu estimator,Mean squared error matrix",RIDGE REGRESSION,"Yang, Hu@Chongqing Univ, Coll Math & Phys, Chongqing 400030, Peoples R China::Xu, Jianwen@Chongqing Univ, Coll Math & Phys, Chongqing 400030, Peoples R China","Yang, Hu@Chongqing University::Xu, Jianwen@Chongqing University","Yang, Hu@A-8108-2010@http://orcid.org/0000-0001-6589-8534","A NOTE ON REGRESSION WHEN THERE IS EXTRANEOUS INFORMATION ABOUT ONE OF THE COEFFICIENTS+DURBIN, J+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+1953::FURTHER RESULTS ON MEAN-SQUARE ERROR OF RIDGE REGRESSION+FAREBROTHER, RW+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL+1976::no title+HOERL AE+TECHNOMETRICS+1970::Improvement of the Liu estimator in linear regression model+Hubert, MH; Wijekoon, P+STATISTICAL PAPERS+JUN 2006::A new biased estimator in linear regression and a detailed analysis of the widely-analysed dataset on Portland cement+Kaciranlar, S.; Sakallioglu, S.; Akdeniz, F.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Styan, G.P.H.; Werner, H.J</span>.+Sankhya Indian J. Stat. B+1999::A NEW CLASS OF BIASED ESTIMATE IN LINEAR-REGRESSION+LIU, KJ+COMMUNICATIONS IN STATISTICS-THEORY AND METHODS+1993::PRINCIPAL COMPONENTS REGRESSION IN EXPLORATORY STATISTICAL RESEARCH+MASSY, WF+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+1965::no title+Rao, CR; Toutenburg, H.+Linear models: least squares and alternatives+1995::Inadmissibility of the usual es-timator for the mean of a multivariate normal distribution+Stein, Charles.+P 3 BERK S MATH STAT+1956::ON PURE AND MIXED STATISTICAL ESTIMATION IN ECONOMICS+THEIL, H; GOLDBERGER, AS+INTERNATIONAL ECONOMIC REVIEW+1961::On the use of incomplete prior information in regression analysis+Theil, H.+Journal of the American Statistical Association+1963::Mean squared error matrix comparisons between biased estimator-an overview of recent results+Trenkler, G; Toutenburg, H.+Stat Pap+1990::no title+Wang, S.G.; Jia, Z.Z.+Matrix Inequalities+2006::Effect of composition of Portland cement on heat envolved during hardening+Woods, H; Steinour, HH; Starke, HR+INDUSTRIAL AND ENGINEERING CHEMISTRY+1932"
A confidence set for that x-coordinate where a quadratic regression model has a given gradient,STATISTICAL PAPERS,10.1007/s00362-007-0104-1,JUN 2009,14,4,"An exact confidence set for that x-coordinate where a quadratic regression model has a given gradient is derived. The limits of the confidence set are given by mathematical formulae. They are implemented in Fortran programs that can be downloaded from the web. The confidence set need not be an interval. Its increase and its changing shape for increasing confidence level is extensively described and visualized in a figure that relates to data from nitrogen-rate trials in Germany. The wheat yields in this example are modeled as quadratic functions of the nitrogen input in order to determine a confidence set for the economically optimum nitrogen fertilization. The disadvantage that the confidence set does not distinguish between concave and convex parabolae, between profit maxima and minima, is also discussed.","Confidence set,Confidence interval,Quadratic model,Parabola,Vertex,Gradient,Optimization problem","YIELD,CORN","Bachmaier, Martin@Tech Univ Munchen Weihenstephan, Fachgebiet Tech Pflanzenbau, D-85354 Freising Weihenstephan, Germany","Bachmaier, Martin@Unknow",not exist,"no title+BACHMAIER M+FORTRAN PROGRAMS 1 C+2005::NITROGEN REQUIREMENT OF CEREALS .1. RESPONSE CURVES+BOYD, DA; YUEN, LTK; NEEDHAM, P+JOURNAL OF AGRICULTURAL SCIENCE+1976::QUADRATIC AND QUADRATIC-PLUS-PLATEAU MODELS FOR PREDICTING OPTIMAL NITROGEN RATE OF CORN - A COMPARISON+BULLOCK, DG; BULLOCK, DS+AGRONOMY JOURNAL+JAN-FEB 1994::no title+Casella, G.; Berger, R. L.+Statistical Inference+2002::COMPARISON OF MODELS FOR DESCRIBING CORN YIELD RESPONSE TO NITROGEN-FERTILIZER+CERRATO, ME; BLACKMER, AM+AGRONOMY JOURNAL+JAN-FEB 1990::no title+Colwell, J. D.+Estimating fertilizer requirements: A quantitative approach+1994::no title+DABBERT S+KTBL SONDERVEROFFENT+2002::SOME PROBLEMS IN INTERVAL ESTIMATION+FIELLER, EC+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY+1954::Estimating site-specific nitrogen crop response functions: A conceptual framework and geostatistical model+Hurley, TM; Malzer, GL; Kilian, B+AGRONOMY JOURNAL+SEP-OCT 2004::Comparison of confidence intervals for maximum of a quadratic regression function+Koziol, D.; Zielinski, W.+Listy Biometryczne+2003::A method to investigate within-field variation of the response of combinable crops to an input+Lark, RM; Wheeler, HC+AGRONOMY JOURNAL+SEP-OCT 2003::Is it possible to forecast the grain quality and yield of different varieties of winter wheat from Minolta SPAD meter measurements?+Le Bail, M; Jeuffroy, MH; Bouchard, C; et al.+EUROPEAN JOURNAL OF AGRONOMY+DEC 2005::no title+Miller, D.J.; Mittelhammer, R.C.; Judge, G.G.+Econometric Foundations+2000::Produktionsfunktionen und precision farming (Response func-tions in the context of Precision Farming). Zukunftsorientierte betriebswirtschaft und informationstechnologien in der agrarwirtschaft+Wagner, P.+Giessener Schriften zur Agrar-und Ernahrungswirtschaft+1999"
